boundaryID,boundaryISO,boundaryYear,boundaryType,boundarySource-1,boundarySource-2,boundaryLicense,licenseDetail,licenseSource,boundarySourceURL,boundaryUpdate,downloadURL
DZA-ADM3-3_0_0-G11,DZA,2017.0,ADM3,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/DZA/ADM3/geoBoundaries-3_0_0-DZA-ADM3-all.zip
AND-ADM0-3_0_0-G12,AND,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AND/ADM0/geoBoundaries-3_0_0-AND-ADM0-all.zip
AND-ADM1-3_0_0-G13,AND,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AND/ADM1/geoBoundaries-3_0_0-AND-ADM1-all.zip
AGO-ADM0-3_0_0-G14,AGO,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AGO/ADM0/geoBoundaries-3_0_0-AGO-ADM0-all.zip
AGO-ADM1-3_0_0-G15,AGO,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AGO/ADM1/geoBoundaries-3_0_0-AGO-ADM1-all.zip
AGO-ADM2-3_0_0-G16,AGO,2018.0,ADM2,Human Data Exchange,"United Nations Office for the Coordination of Humanitarian Affairs, ROSEA",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/angola-administrative-levels-0-3,https://data.humdata.org/dataset/angola-administrative-levels-0-3,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AGO/ADM2/geoBoundaries-3_0_0-AGO-ADM2-all.zip
AGO-ADM3-3_0_0-G17,AGO,2018.0,ADM3,Human Data Exchange,"United Nations Office for the Coordination of Humanitarian Affairs, ROSEA",Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/angola-administrative-levels-0-3,https://data.humdata.org/dataset/angola-administrative-levels-0-3,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AGO/ADM3/geoBoundaries-3_0_0-AGO-ADM3-all.zip
ATA-ADM0-3_0_0-G18,ATA,2020.0,ADM0,Natural Earth,,Public Domain,,https://www.naturalearthdata.com/about/terms-of-use/,https://www.naturalearthdata.com/downloads/10m-physical-vectors/10m-antarctic-ice-shelves/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ATA/ADM0/geoBoundaries-3_0_0-ATA-ADM0-all.zip
ATG-ADM0-3_0_0-G19,ATG,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ATG/ADM0/geoBoundaries-3_0_0-ATG-ADM0-all.zip
ATG-ADM1-3_0_0-G20,ATG,2017.0,ADM1,OpenStreetMap,"Digitized from wikipedia map, Attribution to Golbez",Open Data Commons Open Database License 1.0,"Open Data Commons Open Database License 1.0, Creative Commons Attribution-Share Alike 3.0",https://commons.wikimedia.org/wiki/File:Antigua_parishes_english.png,https://commons.wikimedia.org/wiki/File:Antigua_parishes_english.png,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ATG/ADM1/geoBoundaries-3_0_0-ATG-ADM1-all.zip
ARG-ADM0-3_0_0-G21,ARG,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ARG/ADM0/geoBoundaries-3_0_0-ARG-ADM0-all.zip
ARG-ADM1-3_0_0-G22,ARG,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ARG/ADM1/geoBoundaries-3_0_0-ARG-ADM1-all.zip
ARG-ADM2-3_0_0-G23,ARG,2017.0,ADM2,IGN,,Other - Humanitarian,Direct Permissions,https://www.ign.gob.ar/descargas/tyc1.html,https://www.ign.gob.ar/NuestrasActividades/InformacionGeoespacial/CapasSIG,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ARG/ADM2/geoBoundaries-3_0_0-ARG-ADM2-all.zip
ARM-ADM0-3_0_0-G24,ARM,2020.0,ADM0,OpenStreetMap,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.1,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ARM/ADM0/geoBoundaries-3_0_0-ARM-ADM0-all.zip
ARM-ADM1-3_0_0-G25,ARM,2014.0,ADM1,Government of Armenia,United Nations Office for the Coordination of Humanitarian Affairs ROCCA,Creative Commons Attribution for Intergovernmental Organisations (CC BY-IGO),Creative Commons Attribution for Intergovernmental Organizations,https://data.humdata.org/dataset/armenia-administrative-boundaries,https://data.humdata.org/dataset/armenia-administrative-boundaries,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ARM/ADM1/geoBoundaries-3_0_0-ARM-ADM1-all.zip
ARM-ADM2-3_0_0-G26,ARM,2019.0,ADM2,HDX,"OCHA, ROCCA",Other - Humanitarian,Other - Humanitarian,https://data.humdata.org/dataset/armenia-administrative-boundaries,https://data.humdata.org/dataset/armenia-administrative-boundaries,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/ARM/ADM2/geoBoundaries-3_0_0-ARM-ADM2-all.zip
AUS-ADM0-3_0_0-G27,AUS,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AUS/ADM0/geoBoundaries-3_0_0-AUS-ADM0-all.zip
AUS-ADM1-3_0_0-G28,AUS,2016.0,ADM1,PSMA Australia Limited,data.gov.au,Creative Commons Attribution 4.0 International (CC BY 4.0),Attribution 4.0 International (CC BY 4.0),https://data.gov.au/dataset/ds-dga-bdcf5b09-89bc-47ec-9281-6b8e9ee147aa/details,https://data.gov.au/dataset/psma-administrative-boundaries,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AUS/ADM1/geoBoundaries-3_0_0-AUS-ADM1-all.zip
AUS-ADM2-3_0_0-G29,AUS,2016.0,ADM2,PSMA Australia Limited,data.gov.au,Creative Commons Attribution 4.0 International (CC BY 4.0),Attribution 4.0 International (CC BY 4.0),https://data.gov.au/dataset/ds-dga-bdcf5b09-89bc-47ec-9281-6b8e9ee147aa/details,https://data.gov.au/dataset/psma-administrative-boundaries,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AUS/ADM2/geoBoundaries-3_0_0-AUS-ADM2-all.zip
AUT-ADM0-3_0_0-G30,AUT,2017.0,ADM0,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,Creative Commons Attribution-ShareAlike 2.0,,https://www.data.gv.at/katalog/dataset/987d6260-1e87-4314-9039-ccae502819b6,https://www.data.gv.at/katalog/dataset/987d6260-1e87-4314-9039-ccae502819b6,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AUT/ADM0/geoBoundaries-3_0_0-AUT-ADM0-all.zip
AUT-ADM1-3_0_0-G31,AUT,2017.0,ADM1,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,Creative Commons Attribution-ShareAlike 2.0,,https://twitter.com/WMgeoLab/status/1253487894313959424,"https://www.bev.gv.at/portal/page?_pageid=713,2639317&_dad=portal&_schema=PORTAL",2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AUT/ADM1/geoBoundaries-3_0_0-AUT-ADM1-all.zip
AUT-ADM2-3_0_0-G32,AUT,2017.0,ADM2,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,Creative Commons Attribution-ShareAlike 2.0,,https://twitter.com/WMgeoLab/status/1253487894313959424,"https://www.bev.gv.at/portal/page?_pageid=713,2639317&_dad=portal&_schema=PORTAL",2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AUT/ADM2/geoBoundaries-3_0_0-AUT-ADM2-all.zip
AUT-ADM3-3_0_0-G33,AUT,2017.0,ADM3,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,Creative Commons Attribution-ShareAlike 2.0,,https://twitter.com/WMgeoLab/status/1253487894313959424,"https://www.bev.gv.at/portal/page?_pageid=713,2639317&_dad=portal&_schema=PORTAL",2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AUT/ADM3/geoBoundaries-3_0_0-AUT-ADM3-all.zip
AUT-ADM4-3_0_0-G34,AUT,2017.0,ADM4,"Federal Office for Metrology and Survey, Austria",Bundesministerium Digitaliserung und Wirtschaftsstandort,Creative Commons Attribution-ShareAlike 2.0,,https://twitter.com/WMgeoLab/status/1253487894313959424,"https://www.bev.gv.at/portal/page?_pageid=713,2639317&_dad=portal&_schema=PORTAL",2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AUT/ADM4/geoBoundaries-3_0_0-AUT-ADM4-all.zip
AZE-ADM0-3_0_0-G35,AZE,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AZE/ADM0/geoBoundaries-3_0_0-AZE-ADM0-all.zip
AZE-ADM1-3_0_0-G36,AZE,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AZE/ADM1/geoBoundaries-3_0_0-AZE-ADM1-all.zip
AZE-ADM2-3_0_0-G37,AZE,2020.0,ADM2,Wikipedia,,Creative Commons Attribution-ShareAlike 3.0 Unported,Creative Commons Attribution-ShareAlike 3.0 Unported,https://en.wikipedia.org/wiki/Administrative_divisions_of_Azerbaijan,https://en.wikipedia.org/wiki/Administrative_divisions_of_Azerbaijan#/media/File:Azerbaijan_districts_numbered.png,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/AZE/ADM2/geoBoundaries-3_0_0-AZE-ADM2-all.zip
BHS-ADM0-3_0_0-G38,BHS,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BHS/ADM0/geoBoundaries-3_0_0-BHS-ADM0-all.zip
BHS-ADM1-3_0_0-G39,BHS,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BHS/ADM1/geoBoundaries-3_0_0-BHS-ADM1-all.zip
BHR-ADM0-3_0_0-G40,BHR,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BHR/ADM0/geoBoundaries-3_0_0-BHR-ADM0-all.zip
BHR-ADM1-3_0_0-G41,BHR,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BHR/ADM1/geoBoundaries-3_0_0-BHR-ADM1-all.zip
BGD-ADM0-3_0_0-G42,BGD,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BGD/ADM0/geoBoundaries-3_0_0-BGD-ADM0-all.zip
BGD-ADM1-3_0_0-G43,BGD,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BGD/ADM1/geoBoundaries-3_0_0-BGD-ADM1-all.zip
BGD-ADM2-3_0_0-G44,BGD,2015.0,ADM2,Bangladesh Bureau of Statistics (BBS),United Nations Office for the Coordination of Humanitarian Affairs ROAP,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BGD/ADM2/geoBoundaries-3_0_0-BGD-ADM2-all.zip
BGD-ADM3-3_0_0-G45,BGD,2015.0,ADM3,Bangladesh Bureau of Statistics (BBS),United Nations Office for the Coordination of Humanitarian Affairs ROAP,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BGD/ADM3/geoBoundaries-3_0_0-BGD-ADM3-all.zip
BGD-ADM4-3_0_0-G46,BGD,2015.0,ADM4,Bangladesh Bureau of Statistics (BBS),United Nations Office for the Coordination of Humanitarian Affairs ROAP,Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,https://data.humdata.org/dataset/administrative-boundaries-of-bangladesh-as-of-2015,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BGD/ADM4/geoBoundaries-3_0_0-BGD-ADM4-all.zip
BRB-ADM0-3_0_0-G47,BRB,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BRB/ADM0/geoBoundaries-3_0_0-BRB-ADM0-all.zip
BRB-ADM1-3_0_0-G48,BRB,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BRB/ADM1/geoBoundaries-3_0_0-BRB-ADM1-all.zip
BLR-ADM0-3_0_0-G49,BLR,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BLR/ADM0/geoBoundaries-3_0_0-BLR-ADM0-all.zip
BLR-ADM1-3_0_0-G50,BLR,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BLR/ADM1/geoBoundaries-3_0_0-BLR-ADM1-all.zip
BLR-ADM2-3_0_0-G51,BLR,2017.0,ADM2,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BLR/ADM2/geoBoundaries-3_0_0-BLR-ADM2-all.zip
BEL-ADM0-3_0_0-G52,BEL,2015.0,ADM0,Statistics Belgium,,Open Data Commons Open Database License 1.0,Data set from StatBel open data portal,https://statbel.fgov.be/en/open-data,https://statbel.fgov.be/en/open-data/statistical-sectors,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BEL/ADM0/geoBoundaries-3_0_0-BEL-ADM0-all.zip
BEL-ADM1-3_0_0-G53,BEL,2015.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BEL/ADM1/geoBoundaries-3_0_0-BEL-ADM1-all.zip
BEL-ADM2-3_0_0-G54,BEL,2015.0,ADM2,Statistics Belgium,,Open Data Commons Open Database License 1.0,Data set from StatBel open data portal,https://statbel.fgov.be/en/open-data,https://statbel.fgov.be/en/open-data/statistical-sectors,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BEL/ADM2/geoBoundaries-3_0_0-BEL-ADM2-all.zip
BEL-ADM4-3_0_0-G55,BEL,2018.0,ADM4,Namur Capitale,Statistics Belgium,Creative Commons Attribution 4.0 International (CC BY 4.0),Creative Commons Attribution 4.0 International (CC BY 4.0),https://data.namur.be/pages/licence/,"https://data.namur.be/explore/dataset/communes-belges/information/?location=8,50.5124,4.4752&basemap=jawg.streets",2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BEL/ADM4/geoBoundaries-3_0_0-BEL-ADM4-all.zip
BLZ-ADM0-3_0_0-G56,BLZ,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BLZ/ADM0/geoBoundaries-3_0_0-BLZ-ADM0-all.zip
BLZ-ADM1-3_0_0-G57,BLZ,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BLZ/ADM1/geoBoundaries-3_0_0-BLZ-ADM1-all.zip
BLZ-ADM2-3_0_0-G58,BLZ,2018.0,ADM2,Adele Ramos,ArcGIS Online,Non-Commercial Use Only,"Permission to non-commercially, open source distribution",https://twitter.com/WMgeoLab/status/1195455127680741376/photo/1,https://www.arcgis.com/home/item.html?id=43058799b9894955a4da87d19950d816,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BLZ/ADM2/geoBoundaries-3_0_0-BLZ-ADM2-all.zip
BEN-ADM0-3_0_0-G59,BEN,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BEN/ADM0/geoBoundaries-3_0_0-BEN-ADM0-all.zip
BEN-ADM1-3_0_0-G60,BEN,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BEN/ADM1/geoBoundaries-3_0_0-BEN-ADM1-all.zip
BEN-ADM2-3_0_0-G61,BEN,2015.0,ADM2,Secondary Administrative Level Boundary (SALB) Project,United Nations Office for the Coordination of Humanitarian Affairs Regional Office for West and Central Africa (ROWCA),Other - Humanitarian,Humanitarian use only - Noted in metadata tab,https://data.humdata.org/dataset/benin-administrative-boundaries,https://data.humdata.org/dataset/benin-administrative-boundaries,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BEN/ADM2/geoBoundaries-3_0_0-BEN-ADM2-all.zip
BTN-ADM0-3_0_0-G62,BTN,2017.0,ADM0,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BTN/ADM0/geoBoundaries-3_0_0-BTN-ADM0-all.zip
BTN-ADM1-3_0_0-G63,BTN,2017.0,ADM1,OpenStreetMap,Wambacher,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https://www.openstreetmap.org/copyright,https://wambachers-osm.website/boundaries/,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BTN/ADM1/geoBoundaries-3_0_0-BTN-ADM1-all.zip
BTN-ADM2-3_0_0-G64,BTN,2014.0,ADM2,Bhutan Geospatial Portal,,Other - Direct Permission,"Government Copyright, but permission to use",https://twitter.com/WMgeoLab/status/1179000810778181633/photo/1,http://geo.gov.bt/Home/DataDetail?metadataId=53,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BTN/ADM2/geoBoundaries-3_0_0-BTN-ADM2-all.zip
BOL-ADM0-3_0_0-G65,BOL,2015.0,ADM0,GeoBolivia,Derived from ADM3 layer,Public Domain,"Public Domain; ""free use and access to information""",https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BOL/ADM0/geoBoundaries-3_0_0-BOL-ADM0-all.zip
BOL-ADM1-3_0_0-G66,BOL,2015.0,ADM1,GeoBolivia,Derived from ADM3 layer,Public Domain,"Public Domain; ""free use and access to information""",https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,https://geo.gob.bo/geonetwork/srv/spa/catalog.search#/metadata/aeeb85a9-23df-48d4-a4e5-dd19e8b206db,2020-05-25,https://geoboundaries.org/data/geoBoundaries-3_0_0/BOL/ADM1/geoBoundaries-3_0_0-BOL-ADM1-all.zip
